노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
123000664,1,0.0,포레나송파,,127.149252,37.484705,127.149180633,37.4846557608,,24376.0,1,0
124900129,1,5.0,힐스테이트리슈빌강일503동,,127.176673894,37.5730121616,127.176633774,37.5727432172,,25762.0,1,0
1239900121,2,101.0,힐스에비뉴북위례상가(가상),,127.152073541,37.4864107026,0.0,0.0,,,1,0
124000458,1,0.0,강동리버스트상가,강동리버스트상가,127.174004,37.572099,127.173709547,37.5719293183,,25377.0,1,0
124000460,1,0.0,강동리버스트8단지,강동리버스트8단지,127.177054,37.572949,127.177006281,37.5727337344,,25379.0,1,0
103900283,1,5.0,한양대학교정문,한양대학교정문,127.042122818,37.5577761117,127.042058055,37.5577706354,,4914.0,1,0
103900284,1,5.0,한양대학교제2의학관,한양대학교제2의학관,127.042132,37.559328,127.041924164,37.5588153164,,4912.0,1,0
103900291,1,5.0,한양대학교병원본관1층,한양대학교병원본관1층,127.043571211,37.5594516108,127.043634245,37.559453125,,4905.0,1,0
103900294,1,5.0,행당동서울숲더샵,행당동서울숲더샵,127.039904,37.558001,127.039278361,37.5581454618,,4899.0,1,0
123000657,1,0.0,송파레이크파크호반써밋1차정문,송파레이크파크호반써밋1차정문,127.138072,37.483192,127.138145834,37.4831708599,,24427.0,1,0
116900311,1,5.0,오류동삼거리,오류동삼거리,126.840427313,37.4956760571,126.840452241,37.4956872162,,17516.0,1,0
115900281,1,5.0,등촌역1번출구,등촌역1번출구,126.862807,37.552202,126.863106772,37.551922341,,16921.0,1,0
121900332,1,5.0,반포종합운동장,반포종합운동장,126.996503,37.500511,126.996461032,37.5003955914,,22860.0,1,0
123000653,1,0.0,위례포레샤인18단지,위례포레샤인18단지,127.151798,37.489008,127.151959848,37.4891325034,,24321.0,1,0
103000514,1,0.0,서울숲리버뷰자이아파트제1주차장,서울숲리버뷰자이아파트제1주차장,127.03924,37.554509,127.039345993,37.5546993244,,4896.0,1,0
206000794,1,0.0,판교반디유치원.복합문화단지,,127.070927838,37.3668287946,127.070927838,37.3668287946,,7831.0,1,1
206000646,1,0.0,힐스테이트판교엘포레6단지.판교,,127.068353592,37.3736577552,127.068353592,37.3736577552,,7820.0,1,1
106900030,1,5.0,IBK기업은행면목동지점,IBK기업은행면목동지점,127.085009712,37.5876550553,127.084997866,37.5876887622,,7518.0,1,0
206000619,1,0.0,판교퍼스트힐푸르지오2단지.판교,,127.06862556,37.3740223652,127.06862556,37.3740223652,,7819.0,1,1
206000644,1,0.0,판교퍼스트힐푸르지오1단지,판교퍼스트힐푸르지오1단지,127.071025253,37.3724202297,127.071025253,37.3724202297,,7818.0,1,1
206000659,1,0.0,판교대장로서측,판교대장로서측,127.067526395,37.3632519711,127.067526395,37.3632519711,,7827.0,1,1
101000330,1,0.0,남산케이블카,,126.983628431,37.5552035196,126.983696949,37.5551691036,,2290.0,1,0
104900130,1,5.0,송정동자치회관,송정동자치회관,127.068764,37.550884,127.068745747,37.5507251349,,4506.0,1,0
105000560,1,0.0,답십리래미안엘파인아파트,,127.067293416,37.5757201382,127.067359557,37.5756567092,,6138.0,1,0
109900181,1,5.0,창동역동측,창동역동측,127.049906,37.653604,127.049589579,37.6535514641,,10501.0,1,0
103000515,1,0.0,신금호역4번출구,,127.02053,37.554143,127.020512964,37.5541293701,,4115.0,1,0
123000655,1,0.0,송파레이크파크호반써밋1차,송파레이크파크호반써밋1차,127.140419,37.483895,127.140574332,37.484324611,,24424.0,1,0
123000670,1,0.0,송파레이크힐아파트,,127.143616676,37.4851728389,127.14361832,37.485179338,,24151.0,1,0
123000671,1,0.0,송파레이크파크호반써밋2차정문,송파레이크파크호반써밋2차정문,127.143347989,37.4850420817,127.143349676,37.4850714087,,24182.0,1,0
116000641,1,0.0,덕일전자공업고등학교,,126.83753,37.489847,126.837404017,37.4896691241,,17806.0,1,0
123000652,1,0.0,위례포레샤인18단지,위례포레샤인18단지,127.152664,37.489242,127.152376683,37.4892255769,,24320.0,1,0
121001328,1,0.0,대법원앞,대법원앞,127.006529,37.49167,127.006702254,37.4915815159,,22426.0,1,0
123000658,1,0.0,위례포레샤인13단지,위례포레샤인13단지,127.13867,37.482961,127.139004922,37.4828758775,,24426.0,1,0
111001130,1,6.0,구파발(가상),스마트쉘터 12-111 용 가상정류소,126.91908896,37.6348480405,126.919039509,37.634846331,,12900.0,1,0
113000506,1,6.0,홍대입구역(가상),스마트쉘터 14-016 용 가상정류소,126.925925237,37.5586515499,126.925971407,37.5586124216,,14097.0,1,0
1239900122,2,101.0,힐스테이트북위례(가상),,127.153740801,37.4873175763,0.0,0.0,,,1,0
123000668,1,0.0,북위례입구,,127.156522,37.488952,127.156565463,37.4889011071,,24383.0,1,0
124900127,1,5.0,강동리버스트4단지,강동리버스트4단지,127.171993,37.573778,127.171850573,37.5738893414,,25761.0,1,0
1239900117,2,101.0,헌릉로위례삼거리,2021.01.28_노드명_임시지정,127.131528945,37.4699266206,0.0,0.0,,,1,0
124900128,1,5.0,강빛초.중학교,강빛초.중학교,127.1728,37.57415,127.172354727,37.5741147504,,25764.0,1,0
117900208,1,5.0,롯데캐슬1차정문.해가든아파트,롯데캐슬1차정문.해가든아파트,126.894092387,37.4610024925,126.894137904,37.4608966231,,18873.0,1,0
117900209,1,5.0,롯데캐슬3차,롯데캐슬3차,126.896292593,37.4599718531,126.896155239,37.4599320157,,18869.0,1,0
115000915,1,0.0,대한항공.메이필드호텔,대한항공.메이필드호텔,126.816819,37.549722,126.816578053,37.5495125845,,16157.0,1,0
115000917,1,0.0,영인운수.차고지,영인운수.차고지,126.818291,37.545213,126.818189571,37.5452281216,,16163.0,1,0
124000466,1,0.0,강동리엔파크11단지,강동리엔파크11단지,127.179383,37.554057,127.179684945,37.5535328275,,25384.0,1,0
112900238,1,5.0,연희상가아파트,연희상가아파트,126.928045,37.573124,126.928132829,37.5731053297,,13953.0,1,0
1189900102,2,101.0,선풍로,선풍로,126.916205585,37.499969339,0.0,0.0,,,1,0
124000437,1,0.0,미사강변18단지.강일리버10단지,미사강변18단지.강일리버10단지,127.181785,37.56003,127.181835936,37.560004459,,25200.0,1,0
106000484,1,0.0,양원숲초등학교,,127.104715358,37.6100539033,127.104669243,37.6099485592,,7138.0,1,0
104900131,1,5.0,성수SKV1센터1동,성수SKV1센터1동,127.065585,37.545818,127.065581176,37.5458096754,,4518.0,1,0
103900297,1,5.0,경수중학교입구,경수중학교입구,127.060089,37.543514,127.060086662,37.5435089815,,4533.0,1,0
103900298,1,5.0,성수역2번출구,성수역2번출구,127.057638,37.544268,127.057626532,37.5442437186,,4540.0,1,0
222000588,1,0.0,별빛마을3단지.신안인스빌정문,별빛마을3단지,127.114150037,37.6498372921,127.114150037,37.6498372921,,49894.0,1,1
222000587,1,0.0,별빛마을3단지.신안인스빌정문,별빛마을3단지,127.114293013,37.6496787253,127.114293013,37.6496787253,,49893.0,1,1
123000660,1,0.0,복정역환승센터3번승강장,복정역환승센터3번승강장,127.127589755,37.4699297672,127.127535329,37.4699292873,,24503.0,1,0
123000665,1,0.0,위례호반써밋,위례호반써밋,127.14964829,37.484321154,127.149305698,37.4844928508,,24381.0,1,0
168001486,1,0.0,원당교,원당교,126.723095574,37.5910540171,126.723095574,37.5910540171,,89486.0,1,1
168001485,1,0.0,원당교,원당교,126.722941101,37.5908263854,126.722941101,37.5908263854,,89485.0,1,1
107000524,1,0.0,파크빌라앞,,127.005912,37.598225,127.005721738,37.598075859,,8351.0,1,0
123000667,1,0.0,서울위례별초교.위례별유치원,,127.144875,37.478031,127.144646221,37.4780652791,,24398.0,1,0
106900028,1,5.0,서일대정문,서일대정문,127.096119,37.587816,127.095895872,37.5877533573,,7511.0,1,0
118000608,1,0.0,우성2차아파트,,126.910453,37.499258,126.910716175,37.499173967,,19341.0,1,0
101000329,1,6.0,숭례문(가상),스마트쉘터 02-099 용 가상정류소,126.97435565,37.5597967723,126.974489019,37.5597629406,,2099.0,1,0
103900295,1,5.0,송정어린이집,송정어린이집,127.06774743,37.5490025833,127.067765882,37.548996005,,4512.0,1,0
116900312,1,5.0,항동제일풍경채,,126.816872006,37.4758934433,126.816808397,37.4758392233,,17715.0,1,0
123000663,1,0.0,힐스테이트센트럴위례,,127.153384,37.486908,127.153234134,37.4868828787,,24342.0,1,0
104000304,1,6.0,건대입구(가상),스마트쉘터 05-232 용 가상정류소,127.070989829,37.5401911408,127.070835776,37.5402365937,,5499.0,1,0
115900275,1,5.0,마곡엠밸리11.12단지상가,마곡엠밸리11.12단지상가,126.821038,37.558666,126.821138155,37.5587795397,,16546.0,1,0
115000935,1,0.0,마곡13단지힐스테이트아파트,,126.817975,37.556702,126.817884414,37.5566726976,,16301.0,1,0
